幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.22500,31.55000,31.54700,31.45400,31.33600,31.22000,31.09500,30.98400,30.86700,本行賣出,31.89500,31.70000,31.65300,31.56700,31.45900,31.35500,31.24000,31.13800,31.03200,
HKD,本行買入,3.90000,4.02100,4.01900,4.00800,3.99600,3.98400,3.97000,3.95700,3.94300,本行賣出,4.10400,4.09100,4.07900,4.06900,4.05800,4.04400,4.03200,4.02100,4.00900,
GBP,本行買入,39.06000,39.95500,40.21100,40.09400,39.96800,39.81700,39.66400,39.51200,39.35900,本行賣出,41.18000,40.58500,40.62300,40.52900,40.40500,40.25600,40.11700,39.97700,39.83800,
AUD,本行買入,20.37000,20.58500,20.69100,20.65300,20.60600,20.55000,20.49100,20.43400,20.37300,本行賣出,21.15000,20.93000,20.88800,20.84400,20.79800,20.74000,20.69100,20.63900,20.58500,
CAD,本行買入,23.27000,23.60000,23.63700,23.57000,23.50400,23.42600,23.34700,23.26800,23.18900,本行賣出,24.18000,23.93000,23.84500,23.79500,23.73100,23.65100,23.58100,23.51200,23.44200,
SGD,本行買入,23.03000,23.50000,23.52600,23.47700,23.43200,23.38100,23.32800,23.27500,23.22200,本行賣出,23.94000,23.72000,23.71500,23.68400,23.63900,23.58700,23.54400,23.50100,23.45700,
CHF,本行買入,35.15000,35.76000,35.90500,35.87600,35.86900,35.85300,35.84200,35.83000,35.81900,本行賣出,36.35000,36.15000,36.17000,36.17100,36.16800,36.15100,36.15600,36.16000,36.16500,
JPY,本行買入,0.21170,0.21850,0.21990,0.22000,0.22020,0.22040,0.22070,0.22090,0.22120,本行賣出,0.22450,0.22350,0.22390,0.22420,0.22440,0.22470,0.22510,0.22550,0.22590,
ZAR,本行買入,0.00000,1.66800,1.67500,1.66600,1.65500,1.64400,1.63300,1.62100,1.61000,本行賣出,0.00000,1.75800,1.75500,1.74800,1.73800,1.72600,1.71600,1.70500,1.69500,
SEK,本行買入,2.58000,2.91000,2.92700,2.92100,2.91500,2.90800,2.90100,2.89400,2.88700,本行賣出,3.10000,3.03000,3.02800,3.02500,3.01900,3.01200,3.00600,3.00100,2.99500,
NZD,本行買入,18.79000,19.12000,19.19900,19.13800,19.07600,19.00500,18.93100,18.85700,18.78300,本行賣出,19.64000,19.42000,19.40800,19.36500,19.30400,19.23300,19.16700,19.10000,19.03400,
THB,本行買入,0.79380,0.90320,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.98380,0.94920,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.50780,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.63980,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00168,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00238,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,33.86000,34.37500,34.53000,34.46900,34.38800,34.30800,34.23400,34.15900,34.03700,本行賣出,35.20000,34.97500,34.94000,34.90000,34.83100,34.77300,34.71600,34.65900,34.60200,
KRW,本行買入,0.02264,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02654,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00109,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00150,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,5.91900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.43900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.30200,4.36900,4.36770,4.36120,4.36010,4.35190,4.34660,4.33910,4.33590,本行賣出,4.46400,4.42900,4.42130,4.42180,4.42050,4.41440,4.41140,4.40840,4.40540,
